student_id,name,age,gender,education_level,cgpa,previous_internships,location_type,family_income,digital_literacy,skills,preferred_sector,preferred_location
52,Student_52,22,Female,Undergraduate,7.41,0,Rural,<2 Lakh,Intermediate,"Finance, Python, Biology, Teaching",Manufacturing,Rural
53,Student_53,24,Female,Diploma,6.54,1,Urban,5-8 Lakh,Basic,"Agriculture, Chemistry",Manufacturing,Any
54,Student_54,23,Female,Postgraduate,6.87,1,Urban,2-5 Lakh,Intermediate,"Problem Solving, Agriculture, Communication, English",Manufacturing,Delhi
55,Student_55,21,Other,Undergraduate,9.21,0,Rural,5-8 Lakh,Basic,"Research, English, Agriculture, Team Work",NGO,Mumbai
56,Student_56,24,Male,Undergraduate,8.81,2,Urban,2-5 Lakh,Intermediate,"Data Analysis, Leadership, Sales",Government,Chennai
57,Student_57,18,Female,Undergraduate,5.64,2,Rural,2-5 Lakh,Basic,"Chemistry, Problem Solving, Customer Service, Agriculture",IT,Rural
58,Student_58,19,Male,Undergraduate,8.2,1,Semi-Urban,5-8 Lakh,Advanced,"Python, Team Work",Environment,Chennai
59,Student_59,18,Male,Undergraduate,8.17,2,Urban,2-5 Lakh,Basic,"MS Office, Healthcare",IT,Rural
60,Student_60,20,Female,Undergraduate,5.82,0,Rural,2-5 Lakh,Advanced,"Python, Communication",Education,Delhi
61,Student_61,20,Female,High School,8.18,1,Rural,2-5 Lakh,Intermediate,"Sales, Mathematics",Healthcare,Mumbai
62,Student_62,20,Other,Undergraduate,9.05,1,Urban,2-5 Lakh,Basic,"Research, Social Media, Java",Government,Rural
63,Student_63,23,Female,Undergraduate,5.85,2,Semi-Urban,2-5 Lakh,Intermediate,"Social Media, Project Management, Excel",Manufacturing,Mumbai
64,Student_64,20,Male,Undergraduate,6.1,2,Semi-Urban,5-8 Lakh,Basic,"Excel, Biology, Healthcare",Environment,Bangalore
65,Student_65,20,Male,High School,8.42,0,Urban,2-5 Lakh,Advanced,"Excel, Chemistry, Customer Service",Agriculture,Mumbai
66,Student_66,21,Female,Undergraduate,7.53,2,Rural,2-5 Lakh,Intermediate,"Chemistry, Leadership, Local Language",Media,Bangalore
67,Student_67,19,Male,Diploma,7.86,0,Semi-Urban,5-8 Lakh,Basic,"Healthcare, Customer Service",Healthcare,Rural
68,Student_68,23,Male,Diploma,7.61,2,Semi-Urban,<2 Lakh,Basic,"Problem Solving, Teaching, Agriculture, Team Work",NGO,Bangalore
69,Student_69,18,Male,Diploma,7.67,3,Rural,<2 Lakh,Basic,"Design, Data Analysis, Customer Service",IT,Hyderabad
70,Student_70,25,Male,Diploma,5.61,0,Rural,>8 Lakh,Advanced,"Chemistry, Biology, Field Work",Finance,Delhi
71,Student_71,22,Male,Undergraduate,8.46,1,Urban,5-8 Lakh,Basic,"Data Analysis, Field Work, Research, Marketing, Local Language",Finance,Rural
72,Student_72,19,Male,Undergraduate,8.6,0,Semi-Urban,2-5 Lakh,Intermediate,"English, Sales, Finance, Agriculture",Media,Bangalore
73,Student_73,18,Male,Diploma,6.92,1,Urban,2-5 Lakh,Intermediate,"Finance, Communication, Social Media, Excel, MS Office",Government,Pune
74,Student_74,23,Male,Postgraduate,7.15,1,Rural,<2 Lakh,Advanced,"Python, Project Management, Customer Service",Marketing,Rural
75,Student_75,22,Other,Postgraduate,5.36,1,Urban,2-5 Lakh,Basic,"Social Media, Project Management",IT,Mumbai
76,Student_76,22,Male,Postgraduate,7.82,2,Urban,2-5 Lakh,Intermediate,"Social Media, Python, Excel, Field Work",Healthcare,Any
77,Student_77,22,Male,Diploma,7.89,1,Urban,2-5 Lakh,Intermediate,"English, Java",Environment,Pune
78,Student_78,18,Female,Undergraduate,7.13,1,Semi-Urban,2-5 Lakh,Intermediate,"Social Media, Excel, Java",Marketing,Chennai
79,Student_79,20,Male,Postgraduate,8.55,2,Urban,<2 Lakh,Basic,"MS Office, Excel",NGO,Mumbai
80,Student_80,19,Female,Undergraduate,6.8,3,Rural,<2 Lakh,Basic,"Agriculture, Social Media, Teaching, Local Language",Media,Any
81,Student_81,23,Female,High School,7.88,0,Urban,>8 Lakh,Basic,"Healthcare, Data Analysis",Environment,Rural
82,Student_82,21,Male,High School,5.98,3,Urban,2-5 Lakh,Intermediate,"Customer Service, Leadership, Biology, Project Management, Healthcare",IT,Mumbai
83,Student_83,20,Male,Undergraduate,7.17,0,Urban,2-5 Lakh,Basic,"Social Media, Mathematics, Healthcare, Design, Data Analysis",Education,Bangalore
84,Student_84,18,Female,Postgraduate,6.99,2,Rural,<2 Lakh,Intermediate,"Communication, Local Language, Design",Agriculture,Rural
85,Student_85,20,Female,Undergraduate,7.47,0,Urban,<2 Lakh,Basic,"Sales, Design, Finance, Biology",IT,Rural
86,Student_86,20,Male,Undergraduate,6.76,0,Urban,5-8 Lakh,Advanced,"Java, Local Language, English, Communication",Finance,Rural
87,Student_87,22,Female,High School,7.04,1,Urban,2-5 Lakh,Advanced,"Java, Marketing, Biology, MS Office",Media,Chennai
88,Student_88,21,Male,Undergraduate,8.19,1,Urban,2-5 Lakh,Intermediate,"Mathematics, Communication, Social Media",Education,Rural
89,Student_89,23,Other,Undergraduate,6.68,0,Semi-Urban,<2 Lakh,Basic,"Data Analysis, Customer Service, Finance, Leadership",Manufacturing,Bangalore
90,Student_90,21,Male,Diploma,5.27,0,Semi-Urban,5-8 Lakh,Basic,"Design, Problem Solving, Teaching",Healthcare,Mumbai
91,Student_91,19,Female,Undergraduate,9.3,1,Urban,<2 Lakh,Basic,"Finance, Social Media, Excel, Mathematics, Customer Service",Marketing,Pune
92,Student_92,22,Female,Postgraduate,8.86,2,Rural,<2 Lakh,Basic,"Communication, Java, English",Education,Any
93,Student_93,22,Female,Diploma,5.65,0,Semi-Urban,2-5 Lakh,Intermediate,"Customer Service, Python, Excel",Media,Bangalore
94,Student_94,21,Male,Undergraduate,8.03,0,Urban,<2 Lakh,Intermediate,"Chemistry, Social Media, Problem Solving, Design",Finance,Chennai
95,Student_95,22,Male,Diploma,6.6,1,Semi-Urban,<2 Lakh,Advanced,"Healthcare, Data Analysis, Marketing, Java",Media,Pune
96,Student_96,21,Male,Undergraduate,7.52,0,Semi-Urban,2-5 Lakh,Basic,"Problem Solving, Marketing, Python",Manufacturing,Hyderabad
97,Student_97,21,Male,Undergraduate,7.55,2,Urban,5-8 Lakh,Intermediate,"Marketing, Teaching",Environment,Rural
98,Student_98,20,Male,Undergraduate,6.92,2,Urban,5-8 Lakh,Intermediate,"Mathematics, Finance, Research",NGO,Rural
99,Student_99,18,Female,Undergraduate,6.26,1,Semi-Urban,2-5 Lakh,Intermediate,"Design, Field Work, Biology, Mathematics, Customer Service",Agriculture,Delhi
100,Student_100,19,Male,Diploma,6.37,0,Rural,<2 Lakh,Basic,"Local Language, Field Work, Healthcare, Leadership",Manufacturing,Any
101,Student_101,18,Male,Postgraduate,6.1,2,Urban,<2 Lakh,Intermediate,"Data Analysis, Research, Java, Project Management",Education,Rural
102,Student_102,21,Female,Undergraduate,6.2,1,Urban,>8 Lakh,Intermediate,"Biology, Customer Service",Healthcare,Rural
103,Student_103,20,Female,Diploma,7.12,2,Urban,2-5 Lakh,Intermediate,"Java, Biology, MS Office",NGO,Pune
104,Student_104,21,Female,Undergraduate,6.34,1,Rural,5-8 Lakh,Advanced,"Java, Project Management, Healthcare, Agriculture",Agriculture,Rural
105,Student_105,24,Other,Undergraduate,8.02,2,Rural,<2 Lakh,Basic,"Agriculture, Problem Solving, Java, Excel",IT,Delhi
106,Student_106,19,Male,Diploma,8.98,1,Semi-Urban,2-5 Lakh,Basic,"Problem Solving, Excel",Healthcare,Bangalore
107,Student_107,20,Male,Postgraduate,6.5,1,Urban,<2 Lakh,Intermediate,"Team Work, Excel, Local Language, Social Media, Marketing",Manufacturing,Rural
108,Student_108,22,Female,Postgraduate,7.49,3,Rural,2-5 Lakh,Intermediate,"Communication, Project Management, Social Media",Finance,Mumbai
109,Student_109,19,Female,Diploma,7.8,1,Rural,>8 Lakh,Basic,"Project Management, Team Work",Healthcare,Delhi
110,Student_110,18,Male,Postgraduate,7.77,1,Urban,>8 Lakh,Intermediate,"Java, Team Work, Excel",Agriculture,Rural
111,Student_111,20,Female,High School,7.29,0,Urban,2-5 Lakh,Advanced,"Design, Local Language, Project Management",Media,Rural
112,Student_112,19,Male,Diploma,8.09,1,Semi-Urban,2-5 Lakh,Advanced,"Project Management, Agriculture, MS Office",Media,Mumbai
113,Student_113,24,Male,Diploma,7.78,1,Semi-Urban,>8 Lakh,Basic,"Teaching, Data Analysis",Media,Rural
114,Student_114,23,Female,Postgraduate,5.71,0,Rural,5-8 Lakh,Advanced,"Local Language, Field Work",Manufacturing,Rural
115,Student_115,21,Female,Undergraduate,8.24,0,Rural,<2 Lakh,Intermediate,"MS Office, Social Media, Teaching, Marketing",Agriculture,Hyderabad
116,Student_116,23,Female,Diploma,8.26,1,Urban,2-5 Lakh,Intermediate,"Leadership, Local Language",IT,Rural
117,Student_117,23,Male,Undergraduate,6.28,2,Rural,<2 Lakh,Intermediate,"English, Research",Environment,Bangalore
118,Student_118,19,Female,Undergraduate,7.25,1,Rural,2-5 Lakh,Intermediate,"Finance, MS Office, Chemistry",Marketing,Mumbai
119,Student_119,23,Male,High School,8.02,0,Rural,2-5 Lakh,Intermediate,"Excel, Python, Finance",Government,Mumbai
120,Student_120,21,Male,Postgraduate,6.95,1,Semi-Urban,2-5 Lakh,Basic,"Team Work, Project Management, Communication, Excel",Government,Chennai
121,Student_121,23,Female,Undergraduate,8.49,0,Rural,2-5 Lakh,Intermediate,"Customer Service, Data Analysis, Agriculture",Finance,Hyderabad
122,Student_122,23,Female,Undergraduate,10.0,1,Urban,<2 Lakh,Intermediate,"Teaching, Leadership, Sales, Excel",Agriculture,Rural
123,Student_123,20,Female,Postgraduate,6.26,0,Rural,2-5 Lakh,Basic,"Social Media, Sales, Research, Problem Solving",NGO,Rural
124,Student_124,19,Female,Undergraduate,5.54,0,Urban,5-8 Lakh,Advanced,"Finance, Customer Service",Manufacturing,Hyderabad
125,Student_125,19,Female,Postgraduate,7.56,0,Urban,5-8 Lakh,Intermediate,"Field Work, Research",Manufacturing,Rural
126,Student_126,20,Female,Undergraduate,8.07,0,Urban,2-5 Lakh,Intermediate,"Team Work, Mathematics, English",Education,Mumbai
127,Student_127,23,Male,Undergraduate,6.92,0,Urban,>8 Lakh,Basic,"Agriculture, Python, Local Language",Environment,Delhi
128,Student_128,23,Male,Diploma,8.94,0,Rural,>8 Lakh,Intermediate,"Customer Service, Research, Local Language, Communication",Media,Rural
129,Student_129,18,Male,Postgraduate,5.59,1,Rural,<2 Lakh,Basic,"Leadership, Teaching, Communication",Environment,Delhi
130,Student_130,21,Male,Undergraduate,8.03,1,Rural,<2 Lakh,Basic,"Communication, Biology, Customer Service",Manufacturing,Mumbai
131,Student_131,20,Female,Diploma,6.47,0,Rural,5-8 Lakh,Intermediate,"Leadership, Teaching",Healthcare,Rural
132,Student_132,19,Male,High School,9.26,2,Urban,5-8 Lakh,Intermediate,"Research, Team Work",Media,Bangalore
133,Student_133,19,Male,Undergraduate,9.59,0,Semi-Urban,>8 Lakh,Intermediate,"Data Analysis, Field Work, MS Office",Marketing,Rural
134,Student_134,20,Male,Undergraduate,6.28,1,Urban,5-8 Lakh,Basic,"Data Analysis, Local Language, English",Finance,Mumbai
135,Student_135,24,Female,Undergraduate,6.54,0,Urban,2-5 Lakh,Intermediate,"Teaching, Agriculture, Healthcare",Healthcare,Delhi
136,Student_136,20,Male,Postgraduate,8.23,0,Rural,2-5 Lakh,Basic,"Teaching, Java",Healthcare,Bangalore
137,Student_137,21,Female,High School,6.74,1,Urban,<2 Lakh,Advanced,"Excel, English, Design, Teaching",Marketing,Hyderabad
138,Student_138,22,Male,Undergraduate,7.15,1,Urban,<2 Lakh,Intermediate,"Java, Python, MS Office, Chemistry, Leadership",Education,Bangalore
139,Student_139,20,Male,Diploma,7.23,2,Rural,2-5 Lakh,Intermediate,"English, Teaching, Problem Solving",Manufacturing,Hyderabad
140,Student_140,25,Female,Postgraduate,4.9,1,Rural,2-5 Lakh,Basic,"Biology, Finance, Customer Service",Environment,Rural
141,Student_141,25,Female,Undergraduate,7.18,3,Urban,2-5 Lakh,Basic,"Field Work, Design, Customer Service, Python, Communication",Education,Any
142,Student_142,20,Male,Undergraduate,6.37,0,Semi-Urban,5-8 Lakh,Advanced,"Excel, Field Work, Leadership",Manufacturing,Mumbai
143,Student_143,21,Female,Undergraduate,6.61,0,Rural,<2 Lakh,Basic,"Customer Service, Java, Sales",Agriculture,Chennai
144,Student_144,20,Female,Diploma,8.93,0,Semi-Urban,2-5 Lakh,Intermediate,"Project Management, Customer Service",Agriculture,Hyderabad
145,Student_145,20,Male,Undergraduate,5.69,0,Urban,<2 Lakh,Intermediate,"Leadership, Design, Java, Research",Healthcare,Any
146,Student_146,18,Female,Undergraduate,8.18,1,Rural,2-5 Lakh,Basic,"Sales, Mathematics",Healthcare,Any
147,Student_147,21,Female,Undergraduate,6.87,1,Semi-Urban,5-8 Lakh,Intermediate,"Java, Sales, Data Analysis, Local Language, Social Media",IT,Mumbai
148,Student_148,21,Female,Diploma,6.86,0,Rural,5-8 Lakh,Intermediate,"Local Language, Communication, Sales, Chemistry",Marketing,Rural
149,Student_149,18,Female,Undergraduate,8.15,2,Rural,>8 Lakh,Basic,"Customer Service, Design, Team Work, Biology",Government,Bangalore
150,Student_150,20,Female,Undergraduate,7.61,2,Urban,<2 Lakh,Basic,"Leadership, Social Media, Problem Solving, Mathematics",Agriculture,Delhi
151,Student_151,24,Female,Diploma,7.88,0,Urban,2-5 Lakh,Basic,"Mathematics, Problem Solving, Design",Marketing,Delhi
152,Student_152,19,Female,Diploma,8.36,0,Rural,2-5 Lakh,Advanced,"Python, Problem Solving, Biology",Healthcare,Chennai
153,Student_153,19,Female,Undergraduate,6.8,0,Urban,2-5 Lakh,Intermediate,"MS Office, Mathematics, Design, Local Language, Biology",Education,Chennai
154,Student_154,21,Female,Undergraduate,6.47,0,Semi-Urban,5-8 Lakh,Basic,"Mathematics, Social Media, Teaching, Problem Solving, Field Work",Healthcare,Delhi
155,Student_155,25,Female,High School,5.9,0,Urban,5-8 Lakh,Basic,"Communication, Marketing, Java",Education,Rural
156,Student_156,19,Female,Diploma,6.21,1,Semi-Urban,5-8 Lakh,Intermediate,"Healthcare, Social Media, Data Analysis, Finance, Sales",Manufacturing,Mumbai
157,Student_157,22,Male,High School,10.0,0,Semi-Urban,<2 Lakh,Intermediate,"Research, Mathematics, Social Media",Government,Hyderabad
158,Student_158,22,Female,Diploma,8.69,0,Urban,5-8 Lakh,Intermediate,"Social Media, Python, Local Language",NGO,Bangalore
159,Student_159,19,Female,Undergraduate,5.58,3,Urban,<2 Lakh,Basic,"Data Analysis, Marketing, MS Office",NGO,Mumbai
160,Student_160,22,Male,Undergraduate,5.61,1,Semi-Urban,5-8 Lakh,Basic,"Teaching, Excel",NGO,Bangalore
161,Student_161,20,Female,Undergraduate,7.78,2,Semi-Urban,2-5 Lakh,Intermediate,"Chemistry, Teaching",Manufacturing,Mumbai
162,Student_162,21,Male,Undergraduate,7.86,0,Urban,2-5 Lakh,Advanced,"Sales, English",Healthcare,Hyderabad
163,Student_163,21,Male,Diploma,7.86,0,Urban,2-5 Lakh,Basic,"Agriculture, Marketing, Local Language",IT,Mumbai
164,Student_164,21,Female,Undergraduate,6.89,1,Rural,>8 Lakh,Intermediate,"Customer Service, MS Office, Python",Healthcare,Chennai
165,Student_165,18,Male,Undergraduate,7.05,0,Rural,<2 Lakh,Intermediate,"Communication, Teaching, Problem Solving",Agriculture,Mumbai
166,Student_166,23,Female,Postgraduate,7.59,0,Urban,2-5 Lakh,Intermediate,"Project Management, Teaching, Java, Communication, Team Work",NGO,Pune
167,Student_167,20,Female,Undergraduate,7.3,1,Rural,5-8 Lakh,Basic,"Design, Sales, Biology",Healthcare,Rural
168,Student_168,19,Male,High School,4.54,1,Urban,2-5 Lakh,Intermediate,"Mathematics, MS Office, Design",Media,Delhi
169,Student_169,18,Male,Undergraduate,6.92,1,Urban,<2 Lakh,Intermediate,"Team Work, Agriculture",Media,Chennai
170,Student_170,21,Male,Diploma,6.18,1,Urban,2-5 Lakh,Intermediate,"Communication, Marketing",Agriculture,Delhi
171,Student_171,22,Female,Undergraduate,7.41,1,Urban,2-5 Lakh,Basic,"Project Management, Data Analysis, Teaching, Java",Manufacturing,Hyderabad
172,Student_172,18,Other,High School,10.0,0,Urban,>8 Lakh,Basic,"Field Work, Design, Python",IT,Mumbai
173,Student_173,21,Female,Diploma,7.64,0,Rural,5-8 Lakh,Basic,"Agriculture, Mathematics, Customer Service, Local Language",Marketing,Hyderabad
174,Student_174,19,Male,Postgraduate,6.82,0,Urban,2-5 Lakh,Intermediate,"Biology, Local Language",Manufacturing,Chennai
175,Student_175,21,Female,Diploma,8.31,0,Urban,>8 Lakh,Basic,"Data Analysis, Sales, Design",Manufacturing,Any
176,Student_176,19,Female,Undergraduate,7.78,3,Urban,2-5 Lakh,Intermediate,"Excel, Local Language, MS Office",Healthcare,Hyderabad
177,Student_177,22,Female,Diploma,7.7,1,Semi-Urban,<2 Lakh,Basic,"Team Work, MS Office",NGO,Hyderabad
178,Student_178,20,Male,Undergraduate,7.93,1,Urban,<2 Lakh,Intermediate,"Local Language, Communication",Finance,Bangalore
179,Student_179,24,Female,Undergraduate,9.67,0,Urban,2-5 Lakh,Intermediate,"Biology, Research",Media,Any
180,Student_180,19,Female,Undergraduate,5.84,0,Rural,<2 Lakh,Basic,"Agriculture, Research, Local Language",NGO,Rural
181,Student_181,20,Female,Diploma,7.77,0,Semi-Urban,>8 Lakh,Basic,"Design, MS Office",Education,Mumbai
182,Student_182,19,Male,Diploma,6.09,0,Urban,5-8 Lakh,Basic,"Marketing, Field Work, Research, Customer Service, Leadership",Environment,Rural
183,Student_183,24,Female,High School,7.87,0,Rural,<2 Lakh,Intermediate,"Data Analysis, Design, Local Language",Manufacturing,Chennai
184,Student_184,23,Female,Diploma,6.1,2,Rural,2-5 Lakh,Intermediate,"Marketing, Local Language",Education,Rural
185,Student_185,20,Male,Undergraduate,6.7,1,Rural,5-8 Lakh,Basic,"Biology, Problem Solving",Education,Rural
186,Student_186,22,Female,Postgraduate,6.85,1,Urban,>8 Lakh,Intermediate,"Team Work, Project Management, Research",Marketing,Mumbai
187,Student_187,23,Female,Postgraduate,8.37,1,Rural,5-8 Lakh,Basic,"Marketing, Customer Service",Marketing,Rural
188,Student_188,21,Male,Undergraduate,8.3,2,Urban,2-5 Lakh,Basic,"Python, Research, Data Analysis, Design, Mathematics",Marketing,Mumbai
189,Student_189,21,Male,Undergraduate,5.71,0,Rural,5-8 Lakh,Basic,"Project Management, Team Work, English, MS Office, Finance",Government,Mumbai
190,Student_190,19,Female,Undergraduate,7.27,0,Rural,2-5 Lakh,Advanced,"Finance, Local Language",Education,Mumbai
191,Student_191,18,Male,Diploma,6.35,0,Urban,2-5 Lakh,Basic,"Data Analysis, Agriculture, Healthcare",Healthcare,Rural
192,Student_192,23,Female,Postgraduate,5.69,2,Semi-Urban,<2 Lakh,Basic,"Mathematics, Biology",Education,Mumbai
193,Student_193,24,Male,Undergraduate,6.94,3,Urban,<2 Lakh,Basic,"Problem Solving, Local Language, Excel, Research",Manufacturing,Delhi
194,Student_194,21,Female,Undergraduate,6.83,0,Semi-Urban,2-5 Lakh,Basic,"Agriculture, Local Language, English",Marketing,Rural
195,Student_195,20,Male,High School,10.0,2,Rural,<2 Lakh,Intermediate,"Team Work, MS Office, Excel",Manufacturing,Mumbai
196,Student_196,20,Female,Undergraduate,7.72,2,Urban,<2 Lakh,Basic,"Chemistry, Social Media",Marketing,Delhi
197,Student_197,22,Female,Undergraduate,5.55,0,Urban,5-8 Lakh,Basic,"Local Language, Research, Social Media, Mathematics",Government,Mumbai
198,Student_198,23,Female,Postgraduate,6.52,0,Semi-Urban,<2 Lakh,Intermediate,"Data Analysis, Leadership, Python",Healthcare,Bangalore
199,Student_199,23,Female,Undergraduate,8.43,1,Urban,2-5 Lakh,Basic,"Java, Social Media",Agriculture,Chennai
200,Student_200,22,Male,Diploma,9.71,3,Urban,2-5 Lakh,Intermediate,"Healthcare, Team Work, Chemistry, Excel",Marketing,Delhi
201,Student_201,21,Female,Postgraduate,5.3,0,Urban,>8 Lakh,Intermediate,"Finance, Design, English",Finance,Any
202,Student_202,18,Male,High School,4.94,2,Rural,2-5 Lakh,Basic,"Project Management, Data Analysis, Field Work, Marketing, Healthcare",Environment,Rural
203,Student_203,19,Male,Undergraduate,9.45,0,Rural,<2 Lakh,Intermediate,"Marketing, Social Media",Government,Bangalore
