internship_id,title,company,sector,required_skills,location,duration_months,stipend,education_requirement,description,slots_available,application_deadline
17,Public Service Intern,Wipro,Government,"MS Office, Leadership",Delhi,12,5000,Diploma,Contribute to innovative government solutions and processes.,1,2025-11-19
18,Farm Management Intern,Jubilant Foodworks,Agriculture,"Agriculture, Field Work",Ahmedabad,12,5000,Any,Work on real-world agriculture projects and gain hands-on experience.,8,2025-12-02
19,Legal Affairs Intern,Dr. Reddy's Labs,Government,"Research, English, MS Office",Bhopal,12,4000,High School,Work on real-world government projects and gain hands-on experience.,8,2025-11-03
20,Agri-tech Intern,State Bank of India,Agriculture,"Agriculture, Research, Field Work, Local Language",Bhopal,6,4000,Any,Learn industry best practices in agriculture domain.,4,2025-11-01
21,Data Science Intern,Mahindra Group,IT,"Data Analysis, Excel, Problem Solving",Chandigarh,12,4000,Undergraduate,Assist with research and development in it field.,8,2025-10-16
22,Healthcare Administration Intern,Maruti Suzuki,Healthcare,"Communication, Problem Solving",Any Location,12,5000,Undergraduate,Contribute to innovative healthcare solutions and processes.,7,2025-11-11
23,Production Intern,State Bank of India,Manufacturing,"Team Work, Excel",Bangalore,12,5000,Any,Work on real-world manufacturing projects and gain hands-on experience.,2,2025-10-25
24,Investment Banking Intern,Larsen & Toubro,Finance,"Data Analysis, Finance",Ahmedabad,12,5000,Diploma,Learn industry best practices in finance domain.,5,2025-10-15
25,Agri-tech Intern,Larsen & Toubro,Agriculture,"Agriculture, Field Work, Local Language, Research",Ahmedabad,12,5000,High School,Contribute to innovative agriculture solutions and processes.,10,2025-11-25
26,AI/ML Intern,Sun Pharma,IT,"Excel, Problem Solving, Java",Chandigarh,12,6000,Diploma,Support it operations and contribute to team objectives.,4,2025-10-15
27,Agricultural Marketing Intern,ICICI Bank,Agriculture,"Local Language, Research, Field Work, Agriculture",Lucknow,12,5000,Diploma,Learn industry best practices in agriculture domain.,3,2025-11-03
28,Supply Chain Intern,Tata Consultancy Services,Manufacturing,"Team Work, Problem Solving, Excel",Lucknow,6,4000,Undergraduate,Contribute to innovative manufacturing solutions and processes.,1,2025-12-03
29,Industrial Design Intern,Godrej Consumer,Manufacturing,"Team Work, Problem Solving, Project Management, Excel",Bhopal,12,5000,Undergraduate,Support manufacturing operations and contribute to team objectives.,5,2025-11-23
30,Academic Research Intern,Godrej Consumer,Education,"Communication, Teaching, English, MS Office",Lucknow,12,5000,Any,Contribute to innovative education solutions and processes.,10,2025-10-27
31,Agri-tech Intern,Godrej Consumer,Agriculture,"Agriculture, Research, Field Work, Local Language",Delhi,12,5000,High School,Support agriculture operations and contribute to team objectives.,8,2025-10-26
32,Learning Design Intern,Asian Paints,Education,"Communication, English, Teaching, Leadership",Chennai,12,5000,High School,Learn industry best practices in education domain.,9,2025-11-30
33,Policy Research Intern,Eicher Motors,Government,"Leadership, Communication, MS Office, English",Chennai,12,4000,Undergraduate,Work on real-world government projects and gain hands-on experience.,7,2025-12-07
34,Farm Management Intern,Hindustan Unilever,Agriculture,"Local Language, Research, Agriculture",Delhi,12,5000,Undergraduate,Support agriculture operations and contribute to team objectives.,1,2025-11-17
35,Administrative Intern,Bharti Airtel,Government,"MS Office, Communication, Leadership, Research",Hyderabad,12,6000,Any,Support government operations and contribute to team objectives.,1,2025-11-21
36,Healthcare Administration Intern,Dr. Reddy's Labs,Healthcare,"Problem Solving, Biology",Kolkata,12,5000,High School,Assist with research and development in healthcare field.,1,2025-10-26
37,Brand Management Intern,UltraTech Cement,Marketing,"MS Office, Marketing",Delhi,12,5000,Undergraduate,Assist with research and development in marketing field.,2,2025-11-23
38,Teaching Assistant,Bharti Airtel,Education,"Communication, Teaching",Rural,12,5000,Undergraduate,Assist with research and development in education field.,1,2025-11-28
39,Production Intern,Tata Consultancy Services,Manufacturing,"Project Management, Excel, Problem Solving, Team Work",Jaipur,6,5000,High School,Contribute to innovative manufacturing solutions and processes.,4,2025-10-19
40,Agricultural Marketing Intern,Infosys,Agriculture,"Research, Agriculture, Field Work, Local Language",Chennai,6,5000,Undergraduate,Learn industry best practices in agriculture domain.,10,2025-11-01
41,Brand Management Intern,Larsen & Toubro,Marketing,"MS Office, Design, Marketing, Social Media",Mumbai,12,6000,Undergraduate,Assist with research and development in marketing field.,9,2025-10-24
42,Financial Analysis Intern,Wipro,Finance,"Mathematics, Data Analysis, Excel, Finance",Hyderabad,6,5000,Undergraduate,Work on real-world finance projects and gain hands-on experience.,4,2025-12-06
43,Industrial Design Intern,ICICI Bank,Manufacturing,"Excel, Team Work, Problem Solving, Project Management",Bhopal,12,5000,Diploma,Learn industry best practices in manufacturing domain.,4,2025-11-10
44,Medical Research Intern,Dr. Reddy's Labs,Healthcare,"Problem Solving, Biology",Bhopal,6,5000,High School,Support healthcare operations and contribute to team objectives.,7,2025-11-20
45,Insurance Intern,Maruti Suzuki,Finance,"Excel, Finance, Mathematics",Any Location,12,6000,Any,Work on real-world finance projects and gain hands-on experience.,9,2025-11-25
46,Teaching Assistant,Eicher Motors,Education,"Communication, Teaching, Leadership",Mumbai,6,5000,High School,Support education operations and contribute to team objectives.,7,2025-11-28
47,Content Marketing Intern,Tech Mahindra,Marketing,"MS Office, Communication",Hyderabad,12,4000,Any,Assist with research and development in marketing field.,1,2025-11-06
48,Farm Management Intern,Asian Paints,Agriculture,"Agriculture, Field Work, Research",Jaipur,12,5000,High School,Contribute to innovative agriculture solutions and processes.,1,2025-10-13
49,Mobile App Development Intern,Eicher Motors,IT,"Data Analysis, Excel",Mumbai,12,5000,Undergraduate,Learn industry best practices in it domain.,4,2025-11-16
50,Pharmacy Intern,UltraTech Cement,Healthcare,"MS Office, Problem Solving, Communication",Delhi,12,5000,Any,Support healthcare operations and contribute to team objectives.,4,2025-11-12
51,Investment Banking Intern,Reliance Industries,Finance,"Data Analysis, Mathematics, Communication, Excel",Hyderabad,12,5000,Undergraduate,Work on real-world finance projects and gain hands-on experience.,1,2025-11-13
52,Teaching Assistant,Wipro,Education,"Teaching, Leadership",Jaipur,12,5000,High School,Learn industry best practices in education domain.,6,2025-10-22
53,Quality Control Intern,Muthoot Finance,Manufacturing,"Team Work, Problem Solving, Project Management",Chennai,6,5000,Undergraduate,Support manufacturing operations and contribute to team objectives.,10,2025-10-16
54,Academic Research Intern,Mahindra Group,Education,"MS Office, Leadership",Bhopal,12,6000,High School,Learn industry best practices in education domain.,2,2025-11-20
55,Pharmacy Intern,Bharti Airtel,Healthcare,"Research, MS Office",Pune,12,5000,Undergraduate,Support healthcare operations and contribute to team objectives.,5,2025-11-20
56,Financial Analysis Intern,UltraTech Cement,Finance,"Communication, Excel, Data Analysis",Pune,12,5000,Any,Assist with research and development in finance field.,8,2025-10-30
57,Content Marketing Intern,Bharti Airtel,Marketing,"MS Office, Marketing",Rural,6,5000,Undergraduate,Assist with research and development in marketing field.,3,2025-10-19
58,Web Development Intern,Mahindra Group,IT,"Java, Problem Solving",Hyderabad,12,5000,Undergraduate,Support it operations and contribute to team objectives.,9,2025-11-21
59,Process Engineering Intern,Nestle India,Manufacturing,"Excel, Team Work, Project Management",Ahmedabad,6,5000,High School,Support manufacturing operations and contribute to team objectives.,7,2025-11-19
60,Pharmacy Intern,Tech Mahindra,Healthcare,"Problem Solving, Research",Hyderabad,12,4000,High School,Work on real-world healthcare projects and gain hands-on experience.,9,2025-12-05
61,AI/ML Intern,Bajaj Finance,IT,"Python, Excel, Problem Solving, Data Analysis",Chennai,12,5000,High School,Contribute to innovative it solutions and processes.,1,2025-10-25
62,Administrative Intern,Wipro,Government,"English, Communication, MS Office",Chandigarh,6,5000,Undergraduate,Support government operations and contribute to team objectives.,5,2025-11-07
63,Public Health Intern,Larsen & Toubro,Healthcare,"Problem Solving, Biology, Communication",Chennai,12,5000,Diploma,Contribute to innovative healthcare solutions and processes.,3,2025-10-17
64,Administrative Intern,State Bank of India,Government,"Leadership, Communication",Chandigarh,12,5000,Any,Learn industry best practices in government domain.,4,2025-10-11
65,Audit Intern,Reliance Industries,Finance,"Excel, Mathematics",Pune,12,5000,Diploma,Work on real-world finance projects and gain hands-on experience.,4,2025-11-20
66,Accounting Intern,Bajaj Finance,Finance,"Data Analysis, Communication, Finance",Delhi,6,5000,High School,Learn industry best practices in finance domain.,7,2025-10-15
67,Social Media Intern,Godrej Consumer,Marketing,"MS Office, Communication, Design, Marketing",Pune,12,4000,High School,Contribute to innovative marketing solutions and processes.,10,2025-10-25
68,Agricultural Research Intern,Asian Paints,Agriculture,"Research, Field Work, Local Language, Agriculture",Rural,6,5000,Any,Contribute to innovative agriculture solutions and processes.,8,2025-10-09
69,Student Support Intern,Reliance Industries,Education,"English, Teaching",Jaipur,12,5000,Undergraduate,Support education operations and contribute to team objectives.,10,2025-10-18
70,Educational Content Intern,TVS Motor,Education,"MS Office, Teaching, Communication",Chennai,12,5000,Any,Learn industry best practices in education domain.,5,2025-11-24
71,Public Health Intern,Larsen & Toubro,Healthcare,"MS Office, Problem Solving, Biology, Communication",Bhopal,12,6000,Any,Work on real-world healthcare projects and gain hands-on experience.,10,2025-10-24
72,Data Science Intern,Tata Consultancy Services,IT,"Excel, Java, Communication, Data Analysis",Jaipur,6,5000,High School,Contribute to innovative it solutions and processes.,7,2025-10-18
73,Data Science Intern,Bharti Airtel,IT,"Java, Excel, Problem Solving",Lucknow,12,5000,High School,Learn industry best practices in it domain.,3,2025-12-08
74,Healthcare Administration Intern,Tech Mahindra,Healthcare,"Problem Solving, MS Office, Research",Bangalore,6,5000,Diploma,Assist with research and development in healthcare field.,3,2025-11-16
75,Academic Research Intern,Mahindra Group,Education,"MS Office, Communication",Bangalore,12,5000,Undergraduate,Assist with research and development in education field.,3,2025-11-16
76,Healthcare Administration Intern,TVS Motor,Healthcare,"MS Office, Research, Biology",Delhi,6,5000,Diploma,Contribute to innovative healthcare solutions and processes.,4,2025-12-03
77,Agricultural Research Intern,Nestle India,Agriculture,"Agriculture, Research, Field Work, Local Language",Rural,12,5000,High School,Work on real-world agriculture projects and gain hands-on experience.,6,2025-11-08
78,Academic Research Intern,Asian Paints,Education,"Teaching, Leadership, Communication, English",Pune,6,5000,High School,Contribute to innovative education solutions and processes.,5,2025-11-05
79,Audit Intern,State Bank of India,Finance,"Mathematics, Excel, Finance",Bangalore,6,4000,Undergraduate,Assist with research and development in finance field.,8,2025-11-27
80,Financial Analysis Intern,HDFC Bank,Finance,"Communication, Data Analysis, Finance",Chennai,6,5000,High School,Work on real-world finance projects and gain hands-on experience.,5,2025-11-14
81,Clinical Data Intern,Asian Paints,Healthcare,"MS Office, Research",Chandigarh,12,5000,Undergraduate,Assist with research and development in healthcare field.,5,2025-11-01
82,Healthcare Administration Intern,Jubilant Foodworks,Healthcare,"Problem Solving, Communication, Research",Any Location,6,5000,Any,Contribute to innovative healthcare solutions and processes.,10,2025-11-01
83,Market Research Intern,Asian Paints,Marketing,"Design, MS Office",Bangalore,12,5000,Undergraduate,Contribute to innovative marketing solutions and processes.,2,2025-11-13
84,Public Service Intern,Larsen & Toubro,Government,"Leadership, MS Office, English",Kolkata,12,5000,Diploma,Work on real-world government projects and gain hands-on experience.,5,2025-11-25
85,Audit Intern,UltraTech Cement,Finance,"Finance, Excel, Data Analysis, Communication",Rural,12,5000,Undergraduate,Contribute to innovative finance solutions and processes.,7,2025-11-17
86,Data Science Intern,Hero MotoCorp,IT,"Communication, Python, Excel",Any Location,12,5000,Diploma,Assist with research and development in it field.,2,2025-12-07
87,Agri-tech Intern,Tata Consultancy Services,Agriculture,"Local Language, Agriculture",Pune,6,5000,High School,Contribute to innovative agriculture solutions and processes.,6,2025-10-11
88,Farm Management Intern,TVS Motor,Agriculture,"Local Language, Research, Agriculture, Field Work",Bhopal,12,5000,Any,Assist with research and development in agriculture field.,7,2025-10-09
89,Insurance Intern,Asian Paints,Finance,"Mathematics, Finance, Excel, Communication",Lucknow,6,5000,Diploma,Work on real-world finance projects and gain hands-on experience.,5,2025-11-01
90,Insurance Intern,Nestle India,Finance,"Finance, Excel",Hyderabad,12,4000,Any,Learn industry best practices in finance domain.,9,2025-11-20
91,Farm Management Intern,Wipro,Agriculture,"Field Work, Local Language, Agriculture, Research",Mumbai,6,5000,Undergraduate,Contribute to innovative agriculture solutions and processes.,4,2025-12-06
92,Supply Chain Intern,Mahindra Group,Manufacturing,"Team Work, Project Management, Problem Solving",Ahmedabad,12,5000,Any,Contribute to innovative manufacturing solutions and processes.,10,2025-10-09
93,Brand Management Intern,State Bank of India,Marketing,"MS Office, Social Media, Marketing",Mumbai,12,5000,Undergraduate,Learn industry best practices in marketing domain.,1,2025-12-08
94,Clinical Data Intern,State Bank of India,Healthcare,"Problem Solving, Communication, MS Office",Ahmedabad,12,6000,Any,Contribute to innovative healthcare solutions and processes.,8,2025-11-08
95,Risk Management Intern,Asian Paints,Finance,"Data Analysis, Excel, Finance",Mumbai,6,5000,Undergraduate,Work on real-world finance projects and gain hands-on experience.,8,2025-11-02
96,Insurance Intern,Nestle India,Finance,"Finance, Mathematics, Communication, Data Analysis",Jaipur,12,6000,High School,Learn industry best practices in finance domain.,7,2025-10-24
97,Digital Marketing Intern,Bajaj Finance,Marketing,"Marketing, Social Media, MS Office",Bangalore,6,5000,Any,Learn industry best practices in marketing domain.,8,2025-10-31
98,Accounting Intern,Hero MotoCorp,Finance,"Finance, Communication, Data Analysis",Chandigarh,12,5000,Diploma,Support finance operations and contribute to team objectives.,2,2025-11-25
99,Risk Management Intern,Muthoot Finance,Finance,"Finance, Communication",Any Location,12,4000,Diploma,Contribute to innovative finance solutions and processes.,3,2025-10-31
100,Teaching Assistant,Mahindra Group,Education,"Teaching, Leadership",Lucknow,12,5000,High School,Contribute to innovative education solutions and processes.,9,2025-10-11
101,Public Service Intern,Nestle India,Government,"MS Office, English, Leadership, Communication",Ahmedabad,12,5000,Diploma,Contribute to innovative government solutions and processes.,1,2025-10-26
102,Agricultural Research Intern,Reliance Industries,Agriculture,"Field Work, Agriculture, Research, Local Language",Jaipur,12,5000,High School,Contribute to innovative agriculture solutions and processes.,8,2025-10-31
103,Agricultural Research Intern,Muthoot Finance,Agriculture,"Agriculture, Local Language, Field Work",Pune,12,5000,High School,Work on real-world agriculture projects and gain hands-on experience.,8,2025-11-21
104,Audit Intern,Muthoot Finance,Finance,"Excel, Mathematics, Finance, Data Analysis",Bangalore,12,5000,Undergraduate,Support finance operations and contribute to team objectives.,7,2025-10-26
105,Communication Intern,Mahindra Group,Government,"MS Office, Communication, English",Kolkata,12,4000,Diploma,Assist with research and development in government field.,5,2025-11-22
106,Supply Chain Intern,Nestle India,Manufacturing,"Project Management, Team Work, Problem Solving",Lucknow,12,5000,Diploma,Contribute to innovative manufacturing solutions and processes.,4,2025-11-21
107,Financial Analysis Intern,Nestle India,Finance,"Mathematics, Finance, Communication, Data Analysis",Any Location,6,5000,Any,Support finance operations and contribute to team objectives.,10,2025-10-18
108,Student Support Intern,ICICI Bank,Education,"English, Leadership",Ahmedabad,12,5000,Diploma,Contribute to innovative education solutions and processes.,10,2025-11-12
109,Process Engineering Intern,Nestle India,Manufacturing,"Project Management, Excel, Problem Solving",Kolkata,12,5000,High School,Support manufacturing operations and contribute to team objectives.,10,2025-10-12
110,Risk Management Intern,Maruti Suzuki,Finance,"Excel, Data Analysis, Mathematics",Pune,6,5000,Undergraduate,Learn industry best practices in finance domain.,10,2025-11-01
111,Social Media Intern,Bharti Airtel,Marketing,"Design, Social Media",Pune,12,6000,Diploma,Contribute to innovative marketing solutions and processes.,6,2025-11-14
112,Learning Design Intern,UltraTech Cement,Education,"Communication, Leadership, MS Office",Ahmedabad,12,4000,High School,Assist with research and development in education field.,1,2025-11-17
113,Market Research Intern,Hindustan Unilever,Marketing,"Communication, MS Office, Marketing, Design",Kolkata,6,5000,Any,Work on real-world marketing projects and gain hands-on experience.,5,2025-10-14
114,Learning Design Intern,State Bank of India,Education,"Communication, MS Office",Bhopal,12,5000,Undergraduate,Learn industry best practices in education domain.,4,2025-11-16
115,Rural Development Intern,Bharti Airtel,Agriculture,"Local Language, Research, Field Work",Kolkata,12,5000,Diploma,Support agriculture operations and contribute to team objectives.,4,2025-12-02
116,Data Science Intern,Tata Consultancy Services,IT,"Java, Data Analysis, Python, Problem Solving",Bangalore,12,5000,Any,Work on real-world it projects and gain hands-on experience.,7,2025-10-15
117,Public Health Intern,Infosys,Healthcare,"Biology, Problem Solving, Research, MS Office",Mumbai,12,5000,Undergraduate,Contribute to innovative healthcare solutions and processes.,9,2025-10-18
118,Public Health Intern,Tata Consultancy Services,Healthcare,"Research, Problem Solving, Communication",Hyderabad,12,5000,Any,Support healthcare operations and contribute to team objectives.,8,2025-10-17
119,Teaching Assistant,Asian Paints,Education,"Communication, MS Office",Any Location,6,5000,Any,Assist with research and development in education field.,8,2025-12-03
120,Content Marketing Intern,Godrej Consumer,Marketing,"Communication, MS Office, Marketing",Lucknow,12,5000,Any,Contribute to innovative marketing solutions and processes.,5,2025-11-05
121,Social Media Intern,Asian Paints,Marketing,"MS Office, Communication, Social Media",Ahmedabad,12,4000,Undergraduate,Learn industry best practices in marketing domain.,6,2025-11-04
122,Brand Management Intern,Reliance Industries,Marketing,"Social Media, MS Office, Marketing",Any Location,12,5000,Diploma,Learn industry best practices in marketing domain.,2,2025-10-27
123,Communication Intern,Tech Mahindra,Government,"English, Leadership",Hyderabad,12,5000,High School,Assist with research and development in government field.,3,2025-11-29
124,Content Marketing Intern,Bharti Airtel,Marketing,"Social Media, Marketing",Chennai,12,4000,Any,Contribute to innovative marketing solutions and processes.,5,2025-11-05
125,Agricultural Research Intern,Reliance Industries,Agriculture,"Research, Field Work",Chennai,12,5000,Undergraduate,Work on real-world agriculture projects and gain hands-on experience.,2,2025-11-05
126,Accounting Intern,Bajaj Finance,Finance,"Mathematics, Communication, Data Analysis, Finance",Kolkata,12,5000,Diploma,Work on real-world finance projects and gain hands-on experience.,3,2025-10-20
127,Learning Design Intern,Godrej Consumer,Education,"Leadership, MS Office",Hyderabad,12,6000,Any,Support education operations and contribute to team objectives.,4,2025-10-29
128,Data Science Intern,Maruti Suzuki,IT,"Excel, Python",Bangalore,12,5000,High School,Learn industry best practices in it domain.,6,2025-10-26
129,Student Support Intern,ICICI Bank,Education,"Teaching, English, MS Office, Communication",Delhi,12,6000,Any,Support education operations and contribute to team objectives.,5,2025-10-30
130,Rural Development Intern,Bajaj Finance,Agriculture,"Local Language, Field Work, Agriculture",Pune,12,5000,High School,Support agriculture operations and contribute to team objectives.,10,2025-10-12
131,Market Research Intern,Muthoot Finance,Marketing,"MS Office, Design",Bangalore,6,5000,Diploma,Learn industry best practices in marketing domain.,4,2025-11-30
132,Agri-tech Intern,State Bank of India,Agriculture,"Field Work, Research",Rural,12,6000,Any,Support agriculture operations and contribute to team objectives.,2,2025-11-25
133,Data Science Intern,Bajaj Finance,IT,"Communication, Python, Java",Ahmedabad,12,5000,Any,Learn industry best practices in it domain.,5,2025-12-07
134,Quality Control Intern,Tata Consultancy Services,Manufacturing,"Problem Solving, Project Management, Excel, Team Work",Ahmedabad,12,4000,Undergraduate,Support manufacturing operations and contribute to team objectives.,5,2025-11-01
135,Mobile App Development Intern,Reliance Industries,IT,"Python, Java",Bhopal,12,5000,Any,Learn industry best practices in it domain.,7,2025-10-09
136,Learning Design Intern,ICICI Bank,Education,"Teaching, Leadership, MS Office, Communication",Delhi,12,6000,Any,Contribute to innovative education solutions and processes.,1,2025-10-18
137,Production Intern,Nestle India,Manufacturing,"Team Work, Excel",Mumbai,6,5000,Undergraduate,Work on real-world manufacturing projects and gain hands-on experience.,4,2025-10-12
138,Quality Control Intern,Muthoot Finance,Manufacturing,"Problem Solving, Excel, Team Work, Project Management",Pune,12,5000,Undergraduate,Assist with research and development in manufacturing field.,5,2025-11-24
139,Financial Analysis Intern,ICICI Bank,Finance,"Data Analysis, Mathematics, Communication, Excel",Hyderabad,12,5000,High School,Assist with research and development in finance field.,8,2025-11-23
140,Communication Intern,TVS Motor,Government,"Leadership, English, Research",Lucknow,6,6000,Diploma,Contribute to innovative government solutions and processes.,8,2025-10-31
141,Process Engineering Intern,HDFC Bank,Manufacturing,"Team Work, Problem Solving, Project Management",Ahmedabad,6,4000,Undergraduate,Learn industry best practices in manufacturing domain.,1,2025-11-12
142,Process Engineering Intern,Tech Mahindra,Manufacturing,"Excel, Project Management",Bangalore,12,5000,High School,Contribute to innovative manufacturing solutions and processes.,5,2025-12-02
143,Industrial Design Intern,Mahindra Group,Manufacturing,"Project Management, Excel",Mumbai,12,5000,Any,Support manufacturing operations and contribute to team objectives.,10,2025-11-11
144,Communication Intern,Infosys,Government,"Leadership, MS Office",Pune,12,5000,Any,Learn industry best practices in government domain.,1,2025-10-16
145,Clinical Data Intern,Mahindra Group,Healthcare,"Biology, Problem Solving, MS Office, Communication",Any Location,12,5000,High School,Support healthcare operations and contribute to team objectives.,1,2025-10-15
146,Administrative Intern,Muthoot Finance,Government,"Research, English",Bhopal,12,4000,Any,Contribute to innovative government solutions and processes.,2,2025-11-17
147,Digital Marketing Intern,Jubilant Foodworks,Marketing,"Communication, Social Media, Design",Chennai,12,5000,Any,Work on real-world marketing projects and gain hands-on experience.,2,2025-11-07
148,Web Development Intern,Wipro,IT,"Communication, Problem Solving, Data Analysis, Excel",Delhi,12,5000,Undergraduate,Contribute to innovative it solutions and processes.,9,2025-10-11
149,Pharmacy Intern,Nestle India,Healthcare,"Research, Biology",Mumbai,6,4000,Diploma,Contribute to innovative healthcare solutions and processes.,4,2025-11-02
150,Investment Banking Intern,HDFC Bank,Finance,"Finance, Communication, Mathematics, Data Analysis",Chandigarh,12,5000,High School,Contribute to innovative finance solutions and processes.,3,2025-10-31
151,Legal Affairs Intern,Bajaj Finance,Government,"Communication, Leadership",Jaipur,12,5000,Any,Contribute to innovative government solutions and processes.,1,2025-10-30
152,Academic Research Intern,Hindustan Unilever,Education,"Leadership, Communication, English, MS Office",Any Location,12,5000,Undergraduate,Assist with research and development in education field.,2,2025-11-26
153,Rural Development Intern,Bajaj Finance,Agriculture,"Field Work, Local Language, Agriculture, Research",Rural,12,5000,Undergraduate,Learn industry best practices in agriculture domain.,6,2025-11-06
154,Legal Affairs Intern,ICICI Bank,Government,"Research, MS Office",Lucknow,12,6000,High School,Contribute to innovative government solutions and processes.,9,2025-10-17
155,Digital Marketing Intern,State Bank of India,Marketing,"Communication, MS Office, Design",Delhi,6,5000,Undergraduate,Contribute to innovative marketing solutions and processes.,5,2025-11-10
156,Teaching Assistant,Hero MotoCorp,Education,"Leadership, Communication",Bangalore,6,5000,Diploma,Learn industry best practices in education domain.,4,2025-11-01
157,Investment Banking Intern,Dr. Reddy's Labs,Finance,"Mathematics, Excel, Communication",Kolkata,6,5000,Diploma,Work on real-world finance projects and gain hands-on experience.,5,2025-11-24
158,Process Engineering Intern,Eicher Motors,Manufacturing,"Excel, Project Management",Chandigarh,6,5000,High School,Contribute to innovative manufacturing solutions and processes.,9,2025-11-19
159,Digital Marketing Intern,Bharti Airtel,Marketing,"MS Office, Design, Social Media, Marketing",Rural,12,6000,Undergraduate,Learn industry best practices in marketing domain.,7,2025-12-04
160,Farm Management Intern,Eicher Motors,Agriculture,"Field Work, Local Language",Bhopal,6,6000,High School,Assist with research and development in agriculture field.,8,2025-10-12
161,Content Marketing Intern,Bajaj Finance,Marketing,"Marketing, Communication",Pune,6,5000,Diploma,Support marketing operations and contribute to team objectives.,4,2025-10-12
162,Farm Management Intern,State Bank of India,Agriculture,"Agriculture, Research, Field Work, Local Language",Rural,12,5000,Any,Support agriculture operations and contribute to team objectives.,8,2025-10-17
163,Production Intern,Muthoot Finance,Manufacturing,"Problem Solving, Project Management, Team Work",Hyderabad,12,4000,High School,Assist with research and development in manufacturing field.,6,2025-11-10
164,Agricultural Research Intern,UltraTech Cement,Agriculture,"Research, Local Language",Chennai,6,5000,Any,Assist with research and development in agriculture field.,5,2025-11-19
165,Accounting Intern,Muthoot Finance,Finance,"Communication, Finance, Excel, Mathematics",Hyderabad,12,4000,Any,Learn industry best practices in finance domain.,7,2025-11-21
166,Medical Research Intern,Godrej Consumer,Healthcare,"MS Office, Problem Solving, Research, Communication",Chennai,12,5000,Undergraduate,Learn industry best practices in healthcare domain.,6,2025-11-16
167,Web Development Intern,Mahindra Group,IT,"Data Analysis, Excel",Any Location,6,5000,Any,Contribute to innovative it solutions and processes.,3,2025-10-18
168,Policy Research Intern,Asian Paints,Government,"Communication, MS Office",Bangalore,6,4000,High School,Work on real-world government projects and gain hands-on experience.,5,2025-11-25
169,Data Science Intern,Jubilant Foodworks,IT,"Java, Data Analysis, Python, Communication",Chandigarh,12,5000,High School,Learn industry best practices in it domain.,9,2025-11-06
170,Policy Research Intern,Nestle India,Government,"Communication, Leadership, Research",Jaipur,12,5000,Undergraduate,Contribute to innovative government solutions and processes.,7,2025-11-08
171,Teaching Assistant,State Bank of India,Education,"MS Office, Teaching, English",Bangalore,12,5000,High School,Learn industry best practices in education domain.,4,2025-10-21
